team,season,n_high_stakes,n_matches,high_stakes_ppg,baseline_ppg,observed_gap,null_mean,null_p5,null_p95,p_value,p_bonferroni,significant_raw,significant_corrected
Arsenal,1920,10,38,1.7,1.4736842105263157,0.22631578947368425,0.0017057894736842978,-0.5736842105263157,0.5263157894736843,0.5563,1.0,False,False
Arsenal,2021,10,38,1.8,1.605263157894737,0.1947368421052631,-0.0009731578947369446,-0.605263157894737,0.5947368421052632,0.6963,1.0,False,False
Arsenal,2122,10,38,1.2,1.8157894736842106,-0.6157894736842107,0.0087305263157894,-0.6157894736842107,0.5842105263157893,0.1103,1.0,False,False
Arsenal,2223,10,38,2.1,2.210526315789474,-0.1105263157894738,-0.004666315789473892,-0.5105263157894739,0.4894736842105263,0.7421,1.0,False,False
Arsenal,2324,10,38,2.5,2.3421052631578947,0.1578947368421053,-0.0010752631578946896,-0.5421052631578946,0.45789473684210513,0.643,1.0,False,False
Arsenal,2425,10,38,1.9,1.9473684210526316,-0.047368421052631726,0.0028215789473683686,-0.5473684210526317,0.4526315789473683,1.0,1.0,False,False
Arsenal,2526,10,38,2.4,2.236842105263158,0.16315789473684195,0.0027778947368420326,-0.536842105263158,0.5631578947368419,0.6425,1.0,False,False
Liverpool,1920,10,38,2.0,2.6052631578947367,-0.6052631578947367,-0.0025031578947367263,-0.40526315789473655,0.3947368421052633,0.0255,0.714,True,False
Liverpool,2021,10,38,2.0,1.8157894736842106,0.18421052631578938,0.003340526315789383,-0.6157894736842107,0.5842105263157893,0.6759,1.0,False,False
Liverpool,2122,10,38,2.6,2.4210526315789473,0.17894736842105274,-0.003462631578947362,-0.5210526315789474,0.3789473684210525,0.6019,1.0,False,False
Liverpool,2223,10,38,2.4,1.763157894736842,0.6368421052631579,-0.0005978947368420318,-0.5631578947368421,0.5368421052631578,0.0905,1.0,False,False
Liverpool,2324,10,38,2.0,2.1578947368421053,-0.1578947368421053,0.006485263157894687,-0.5578947368421052,0.4421052631578948,0.625,1.0,False,False
Liverpool,2425,10,38,1.7,2.210526315789474,-0.5105263157894739,0.0071036842105261,-0.5105263157894739,0.4894736842105263,0.1149,1.0,False,False
Liverpool,2526,10,38,1.4,1.5789473684210527,-0.17894736842105274,0.0045026315789473475,-0.5789473684210527,0.6210526315789475,0.6885,1.0,False,False
Manchester City,1920,10,38,2.1,2.1315789473684212,-0.03157894736842115,-0.0017289473684212171,-0.6315789473684212,0.5684210526315789,1.0,1.0,False,False
Manchester City,2021,10,38,1.8,2.263157894736842,-0.463157894736842,-0.0037078947368420286,-0.5631578947368421,0.5368421052631578,0.1665,1.0,False,False
Manchester City,2122,10,38,2.6,2.4473684210526314,0.15263157894736867,0.0011715789473685685,-0.4473684210526314,0.3526315789473684,0.5894,1.0,False,False
Manchester City,2223,10,38,2.5,2.3421052631578947,0.1578947368421053,0.0004947368421053115,-0.5421052631578946,0.45789473684210513,0.6563,1.0,False,False
Manchester City,2324,10,38,2.6,2.3947368421052633,0.20526315789473681,0.0012831578947367101,-0.49473684210526336,0.40526315789473655,0.5263,1.0,False,False
Manchester City,2425,10,38,2.0,1.868421052631579,0.13157894736842102,-0.0013110526315789795,-0.5684210526315789,0.631578947368421,0.7952,1.0,False,False
Manchester City,2526,10,38,2.4,2.0526315789473686,0.3473684210526313,0.0019584210526314145,-0.5526315789473686,0.5473684210526315,0.3626,1.0,False,False
Manchester United,1920,10,38,2.1,1.736842105263158,0.3631578947368421,0.00048789473684203986,-0.536842105263158,0.5631578947368419,0.3177,1.0,False,False
Manchester United,2021,10,38,2.1,1.9473684210526316,0.15263157894736845,0.0004815789473683665,-0.5473684210526317,0.5526315789473684,0.6548,1.0,False,False
Manchester United,2122,10,38,1.2,1.5263157894736843,-0.32631578947368434,0.0016142105263157113,-0.5263157894736843,0.5736842105263158,0.4115,1.0,False,False
Manchester United,2223,10,38,1.4,1.9736842105263157,-0.5736842105263158,0.006865789473684297,-0.5736842105263158,0.5263157894736843,0.1248,1.0,False,False
Manchester United,2324,10,38,1.3,1.5789473684210527,-0.2789473684210526,-0.0003573684210526487,-0.5789473684210527,0.6210526315789475,0.5201,1.0,False,False
Manchester United,2425,10,38,1.6,1.105263157894737,0.49473684210526314,0.002046842105263061,-0.605263157894737,0.594736842105263,0.2024,1.0,False,False
Manchester United,2526,10,38,2.2,1.868421052631579,0.3315789473684212,0.0019589473684210206,-0.5684210526315789,0.5315789473684209,0.3866,1.0,False,False
