model,log_loss,accuracy,brier,n_test,note
Logistic regression,1.0361792145770103,0.48857142857142855,0.6230483232241876,700,"The production model. Simple, linear, best calibrated."
XGBoost,1.0719363689422607,0.4714285714285714,0.6440631151199341,700,Gradient boosting. Also did not beat the linear model.
Random forest,1.087249833362484,0.44857142857142857,0.6546175873015874,700,"Flexible, non-linear. Did not beat the linear model here."
Always predict the base rate,1.0984010468346523,0.36,0.6659600505661402,700,No features at all. The bar any real model has to clear.
