team,season,ppg,xG,xGA,win_rate,matches
Arsenal,1920,1.4736842105263157,1.3374267894736842,1.5066385789473684,0.3684210526315789,38
Arsenal,2021,1.605263157894737,1.3749310789473683,1.1376917105263158,0.47368421052631576,38
Arsenal,2122,1.8157894736842106,1.668199394736842,1.273408052631579,0.5789473684210527,38
Arsenal,2223,2.210526315789474,2.0134817894736843,1.1885103236842105,0.6842105263157895,38
Arsenal,2324,2.3421052631578947,2.2208547105263157,0.8363717210526316,0.7368421052631579,38
Arsenal,2425,1.9473684210526316,1.9360501315789476,1.0521016236842105,0.5263157894736842,38
Arsenal,2526,2.236842105263158,2.039121394736842,0.871942242105263,0.6842105263157895,38
Liverpool,1920,2.6052631578947367,1.9787728947368421,1.0413920578947369,0.8421052631578947,38
Liverpool,2021,1.8157894736842106,1.900197842105263,1.2448575789473686,0.5263157894736842,38
Liverpool,2122,2.4210526315789473,2.447957842105263,0.8613435526315789,0.7368421052631579,38
Liverpool,2223,1.763157894736842,2.125578868421053,1.4677194210526316,0.5,38
Liverpool,2324,2.1578947368421053,2.4943484736842105,1.2473356447368422,0.631578947368421,38
Liverpool,2425,2.210526315789474,2.4536668684210525,1.1136979210526317,0.6578947368421053,38
Liverpool,2526,1.5789473684210527,1.7699666315789473,1.4176263684210526,0.4473684210526316,38
Manchester City,1920,2.1315789473684212,2.689611394736842,0.9736218157894738,0.6842105263157895,38
Manchester City,2021,2.263157894736842,2.0451373157894737,0.8056124763157895,0.7105263157894737,38
Manchester City,2122,2.4473684210526314,2.457891394736842,0.6634801052631579,0.7631578947368421,38
Manchester City,2223,2.3421052631578947,2.2189886052631578,0.9002214447368422,0.7368421052631579,38
Manchester City,2324,2.3947368421052633,2.3565461315789475,0.9808270131578947,0.7368421052631579,38
Manchester City,2425,1.868421052631579,1.9249586842105264,1.392189394736842,0.5526315789473685,38
Manchester City,2526,2.0526315789473686,2.088409342105263,1.2234895263157894,0.6052631578947368,38
Manchester United,1920,1.736842105263158,1.7417542894736842,1.001556947368421,0.47368421052631576,38
Manchester United,2021,1.9473684210526316,1.6624272894736842,1.1031052368421053,0.5526315789473685,38
Manchester United,2122,1.5263157894736843,1.5056554736842105,1.4961126315789475,0.42105263157894735,38
Manchester United,2223,1.9736842105263157,1.8921362631578948,1.3233589210526315,0.6052631578947368,38
Manchester United,2324,1.5789473684210527,1.5876290263157895,1.967390552631579,0.47368421052631576,38
Manchester United,2425,1.105263157894737,1.497666052631579,1.5980923684210526,0.2894736842105263,38
Manchester United,2526,1.868421052631579,1.899693947368421,1.3231953684210527,0.5263157894736842,38
