team,season,baseline_ppg,high_stakes_ppg,ppg_gap,is_contention_season,xG_high_stakes,xG_normal,xG_pvalue,xGA_high_stakes,xGA_normal,xGA_pvalue,win_rate,win_rate_high_stakes
Arsenal,1920,1.4736842105263157,1.7,0.22631578947368425,False,1.279586,1.3580842142857141,0.7644006635984195,1.7019587,1.4368813928571427,0.46174655138652454,0.3684210526315789,0.5
Arsenal,2021,1.605263157894737,1.8,0.1947368421052631,False,1.6045521999999999,1.2929235357142856,0.3705398571606684,1.286802,1.0844380357142858,0.4981857831325826,0.47368421052631576,0.5
Arsenal,2122,1.8157894736842106,1.2,-0.6157894736842107,True,1.4483959,1.746700642857143,0.4147665775454817,1.3055593,1.2619254642857143,0.9044686773421498,0.5789473684210527,0.4
Arsenal,2223,2.210526315789474,2.1,-0.1105263157894738,True,2.2838482,1.9169223571428573,0.2696568393436709,1.6483121,1.0242954035714287,0.14329321723128155,0.6842105263157895,0.6
Arsenal,2324,2.3421052631578947,2.5,0.1578947368421053,True,2.2325862000000005,2.2166648928571426,0.9713472071331335,0.8645574,0.826305407142857,0.8868565072951107,0.7368421052631579,0.8
Arsenal,2425,1.9473684210526316,1.9,-0.047368421052631726,True,1.6837583999999999,2.0261543214285713,0.2677400213855805,1.3397639,0.9493650964285715,0.23937642337883824,0.5263157894736842,0.5
Arsenal,2526,2.236842105263158,2.4,0.16315789473684195,True,2.3687549,1.9213951428571427,0.30341760456115363,1.1009829,0.7901420071428572,0.23235457775657414,0.6842105263157895,0.8
Liverpool,1920,2.6052631578947367,2.0,-0.6052631578947367,True,1.6060249,2.1118971785714287,0.11004595837692392,1.21789645,0.9783547749999999,0.47090895025037294,0.8421052631578947,0.6
Liverpool,2021,1.8157894736842106,2.0,0.18421052631578938,True,2.2303699999999997,1.782279214285714,0.0902508146975818,1.4415802999999998,1.1745994642857145,0.4594282478896735,0.5263157894736842,0.6
Liverpool,2122,2.4210526315789473,2.6,0.17894736842105274,True,1.8422790000000002,2.664271714285714,0.005586323101087734,0.635633,0.9419544642857144,0.14075764825913378,0.7368421052631579,0.8
Liverpool,2223,1.763157894736842,2.4,0.6368421052631579,False,2.1284421,2.124556285714286,0.9908007922581171,1.0620508000000002,1.6126010714285715,0.0668460941818623,0.5,0.8
Liverpool,2324,2.1578947368421053,2.0,-0.1578947368421053,True,2.6474800000000003,2.4396586428571427,0.6326525249241076,1.1829475,1.2703314107142858,0.6946713945623871,0.631578947368421,0.6
Liverpool,2425,2.210526315789474,1.7,-0.5105263157894739,True,2.1137478,2.5750665357142855,0.27175909262532044,1.4643933,0.9884495714285713,0.17453060969656098,0.6578947368421053,0.5
Liverpool,2526,1.5789473684210527,1.4,-0.17894736842105274,True,1.4296001999999999,1.8915260714285715,0.05561280872988055,1.7239476999999996,1.3082258928571429,0.23874729935072042,0.4473684210526316,0.4
Manchester City,1920,2.1315789473684212,2.1,-0.03157894736842115,True,2.6144333,2.716460714285715,0.8518829662608528,1.0084606800000002,0.9611793642857143,0.9126487387180803,0.6842105263157895,0.7
Manchester City,2021,2.263157894736842,1.8,-0.463157894736842,True,1.880547,2.1039195714285714,0.37203212493480337,0.9290903,0.7615132535714285,0.5379308925652161,0.7105263157894737,0.6
Manchester City,2122,2.4473684210526314,2.6,0.15263157894736867,True,2.6850940000000003,2.3767476071428573,0.4143788236504412,0.5964085299999999,0.6874342392857142,0.60995238788463,0.7631578947368421,0.8
Manchester City,2223,2.3421052631578947,2.5,0.1578947368421053,True,2.0153480000000004,2.291717392857143,0.3702427599186423,0.9604514999999999,0.8787107107142856,0.7652216968806262,0.7368421052631579,0.8
Manchester City,2324,2.3947368421052633,2.6,0.20526315789473681,True,2.5410242999999997,2.290661071428572,0.5848689135565399,0.90435225,1.0081394285714287,0.734619084985093,0.7368421052631579,0.8
Manchester City,2425,1.868421052631579,2.0,0.13157894736842102,True,1.6408338,2.0264318571428572,0.3595382584700113,1.1386618,1.4827349642857144,0.20076727332110234,0.5526315789473685,0.6
Manchester City,2526,2.0526315789473686,2.4,0.3473684210526313,True,2.556303,1.9213044642857144,0.051494375980709196,1.0926012,1.2702353571428573,0.446598907250623,0.6052631578947368,0.7
Manchester United,1920,1.736842105263158,2.1,0.3631578947368421,True,1.6063695,1.7901059999999998,0.5181571999566508,1.2042757,0.9291573928571427,0.2908926572280966,0.47368421052631576,0.6
Manchester United,2021,1.9473684210526316,2.1,0.15263157894736845,True,1.6685940000000001,1.6602248928571426,0.9786259438098661,1.0933335,1.1065951428571428,0.9624216256626469,0.5526315789473685,0.6
Manchester United,2122,1.5263157894736843,1.2,-0.32631578947368434,True,1.2507419,1.5966960357142859,0.2745122575096811,1.705132,1.421462857142857,0.38834662899988515,0.42105263157894735,0.3
Manchester United,2223,1.9736842105263157,1.4,-0.5736842105263158,True,1.8628486,1.9025961428571432,0.9408096137215366,1.9039983,1.1159877142857142,0.04454240474284967,0.6052631578947368,0.4
Manchester United,2324,1.5789473684210527,1.3,-0.2789473684210526,False,1.8665516999999998,1.4880137857142857,0.4105438914472318,2.4332700000000003,1.801005035714286,0.09665029901919657,0.47368421052631576,0.3
Manchester United,2425,1.105263157894737,1.6,0.49473684210526314,False,1.2587743,1.5829845357142858,0.16503583962743743,1.5449918,1.6170568571428572,0.8344613204177501,0.2894736842105263,0.4
Manchester United,2526,1.868421052631579,2.2,0.3315789473684212,True,1.4667846,2.0543044285714283,0.06033783251562595,1.3348653000000001,1.3190275357142858,0.9529062866896498,0.5263157894736842,0.7
