team,win_rate_high_stakes,win_rate_normal,win_rate_diff,ppg_high_stakes,ppg_normal,ppg_diff,mean_gameweek_high_stakes,mean_gameweek_normal,n_high_stakes,n_normal
Arsenal,0.5857142857142857,0.576530612244898,0.009183673469387754,1.9428571428571428,1.9489795918367347,-0.00612244897959191,30.785714285714285,15.46938775510204,70,196
Liverpool,0.6142857142857143,0.6224489795918368,-0.008163265306122436,2.0142857142857142,2.1020408163265305,-0.08775510204081627,31.242857142857144,15.306122448979592,70,196
Manchester City,0.7142857142857143,0.673469387755102,0.04081632653061229,2.2857142857142856,2.188775510204082,0.0969387755102038,32.51428571428571,14.85204081632653,70,196
Manchester United,0.4714285714285714,0.47959183673469385,-0.008163265306122436,1.7,1.6683673469387754,0.031632653061224536,29.614285714285714,15.887755102040817,70,196
All four teams,0.5964285714285714,0.5880102040816326,0.008418367346938793,1.9857142857142858,1.9770408163265305,0.008673469387755262,31.039285714285715,15.378826530612244,280,784
