season,date,team,opponent,venue,xG,xGA,xgd,scored,conceded,points,is_win
1718,2017-12-31 16:30:00,Arsenal,West Bromwich Albion,away,0.917801,1.39429,-0.47648900000000005,1,1,1,0.0
1718,2018-01-14 13:30:00,Arsenal,Bournemouth,away,1.00956,0.822285,0.18727499999999997,1,2,0,0.0
1718,2018-01-30 19:45:00,Arsenal,Swansea,away,1.15616,2.37911,-1.2229499999999998,1,3,0,0.0
1718,2018-02-10 12:30:00,Arsenal,Tottenham,away,0.487297,2.63564,-2.148343,0,1,0,0.0
1718,2018-03-04 13:30:00,Arsenal,Brighton,away,0.801513,1.48498,-0.6834669999999999,1,2,0,0.0
1718,2018-04-15 12:30:00,Arsenal,Newcastle United,away,1.41538,0.888452,0.5269280000000001,1,2,0,0.0
1718,2018-04-29 15:30:00,Arsenal,Manchester United,away,0.651541,1.54667,-0.895129,1,2,0,0.0
1718,2018-05-09 19:45:00,Arsenal,Leicester,away,1.54443,2.19801,-0.65358,1,3,0,0.0
1718,2018-05-13 15:00:00,Arsenal,Huddersfield,away,2.3322,1.31031,1.0218899999999997,1,0,3,1.0
1819,2018-08-18 19:30:00,Arsenal,Chelsea,away,2.45798,1.71799,0.7399900000000001,2,3,0,0.0
1819,2018-09-02 12:30:00,Arsenal,Cardiff,away,1.41005,0.77426,0.6357900000000001,3,2,3,1.0
1819,2018-09-15 14:00:00,Arsenal,Newcastle United,away,0.90461,0.412121,0.492489,2,1,3,1.0
1819,2018-10-07 11:00:00,Arsenal,Fulham,away,1.13706,1.31588,-0.17881999999999998,5,1,3,1.0
1819,2018-10-28 12:30:00,Arsenal,Crystal Palace,away,0.845197,2.38115,-1.535953,2,2,1,0.0
1819,2018-11-25 13:30:00,Arsenal,Bournemouth,away,1.71044,0.650884,1.059556,2,1,3,1.0
1819,2018-12-05 20:00:00,Arsenal,Manchester United,away,1.73226,1.33679,0.39547,2,2,1,0.0
1819,2018-12-16 13:30:00,Arsenal,Southampton,away,1.85763,1.21163,0.6459999999999999,2,3,0,0.0
1819,2018-12-26 17:15:00,Arsenal,Brighton,away,0.789138,1.38502,-0.5958819999999999,1,1,1,0.0
1819,2018-12-29 17:30:00,Arsenal,Liverpool,away,1.08186,3.7053,-2.6234399999999996,1,5,0,0.0
1819,2019-01-12 12:30:00,Arsenal,West Ham,away,0.685895,0.669394,0.016500999999999988,0,1,0,0.0
1819,2019-02-03 16:30:00,Arsenal,Manchester City,away,0.703542,3.03102,-2.3274779999999997,1,3,0,0.0
1819,2019-02-09 15:00:00,Arsenal,Huddersfield,away,1.46751,1.96816,-0.5006499999999998,2,1,3,1.0
1819,2019-03-02 12:30:00,Arsenal,Tottenham,away,3.45713,1.76818,1.6889499999999997,1,1,1,0.0
1819,2019-04-07 14:05:00,Arsenal,Everton,away,0.201885,2.69396,-2.4920750000000003,0,1,0,0.0
1819,2019-04-15 20:00:00,Arsenal,Watford,away,2.2668,1.12595,1.14085,1,0,3,1.0
1819,2019-04-24 19:45:00,Arsenal,Wolverhampton Wanderers,away,0.939754,0.982018,-0.04226399999999997,1,3,0,0.0
1819,2019-04-28 12:00:00,Arsenal,Leicester,away,0.600697,3.6797,-3.079003,0,3,0,0.0
1819,2019-05-12 14:00:00,Arsenal,Burnley,away,2.87276,1.72939,1.14337,3,1,3,1.0
