team,metric,observed_cohens_d,min_detectable_d,detectable,n_high_stakes_per_season,n_normal_per_season
Arsenal,xG,0.061082653517045525,1.0606598211850855,False,10,28
Arsenal,xGA,0.31299183592699414,1.0606598211850855,False,10,28
Arsenal,points,0.004748561501134371,1.0606598211850855,False,10,28
Liverpool,xG,0.23292289713150363,1.0606598211850855,False,10,28
Liverpool,xGA,0.08131889186518276,1.0606598211850855,False,10,28
Liverpool,points,0.07057896120753299,1.0606598211850855,False,10,28
Manchester City,xG,0.028568085926839522,1.0606598211850855,False,10,28
Manchester City,xGA,0.07852112182767285,1.0606598211850855,False,10,28
Manchester City,points,0.08174316348895994,1.0606598211850855,False,10,28
Manchester United,xG,0.16616805791651915,1.0606598211850855,False,10,28
Manchester United,xGA,0.3056548702017875,1.0606598211850855,False,10,28
Manchester United,points,0.024141345952238717,1.0606598211850855,False,10,28
