test_season,train_seasons,n_train,n_test,log_loss,accuracy,dummy_log_loss,dummy_accuracy,beats_dummy
2122,2,1396,700,0.9730325512136847,0.5428571428571428,1.0723720970652204,0.38571428571428573,True
2223,3,2096,700,0.9955331178438522,0.5285714285714286,1.0694557515174348,0.38857142857142857,True
2324,4,2796,698,0.9619310588427522,0.5415472779369628,1.068190480470189,0.38968481375358166,True
2425,5,3494,700,1.0286967201433852,0.5042857142857143,1.0812455068958355,0.37714285714285717,True
2526,6,4194,700,1.0361792145770103,0.48857142857142855,1.0984010468346523,0.36,True
